eightd_has_key_dispenser,eightd_station_services,lat,short_name,has_kiosk,capacity,lon,electric_bike_surcharge_waiver,station_type,name,externalId,stationId,legacyId
false,,41.768938,567,true,11,-87.652934,false,classic,May St & 69th St,a3b24c1f-a135-11e9-9cda-0a87ae2ba916,a3b24c1f-a135-11e9-9cda-0a87ae2ba916,567
false,,41.89546530305,KA1504000114,true,11,-87.7061278837,false,classic,Kedzie Ave & Chicago Ave,a3ac9834-a135-11e9-9cda-0a87ae2ba916,a3ac9834-a135-11e9-9cda-0a87ae2ba916,373
false,,41.8492,TA1307000066,true,7,-87.67564,false,classic,Damen Ave & Coulter St,a3a706c0-a135-11e9-9cda-0a87ae2ba916,a3a706c0-a135-11e9-9cda-0a87ae2ba916,167
false,,41.965875,KA1504000127,true,11,-87.700825,false,classic,Manor Ave & Leland Ave,a3af9064-a135-11e9-9cda-0a87ae2ba916,a3af9064-a135-11e9-9cda-0a87ae2ba916,477
false,,41.84910969176,15689,true,11,-87.6951398068,false,classic,California Ave & 23rd Pl,a3ade2c3-a135-11e9-9cda-0a87ae2ba916,a3ade2c3-a135-11e9-9cda-0a87ae2ba916,442
false,,41.885502,518,true,11,-87.716866,false,classic,Conservatory Dr & Lake St,a3b0dc1f-a135-11e9-9cda-0a87ae2ba916,a3b0dc1f-a135-11e9-9cda-0a87ae2ba916,518
false,,41.877613,16913,true,11,-87.745405,false,classic,Cicero Ave & Quincy St,a3b143aa-a135-11e9-9cda-0a87ae2ba916,a3b143aa-a135-11e9-9cda-0a87ae2ba916,539
false,,41.75182,579,true,11,-87.565211,false,classic,Phillips Ave & 79th St,a3b28b4a-a135-11e9-9cda-0a87ae2ba916,a3b28b4a-a135-11e9-9cda-0a87ae2ba916,579
false,,41.836208,13215,true,11,-87.613533,false,classic,Rhodes Ave & 32nd St,a3a96fd5-a135-11e9-9cda-0a87ae2ba916,a3a96fd5-a135-11e9-9cda-0a87ae2ba916,263
false,,41.69239474587557,20204,true,11,-87.70096063613892,false,classic,Kedzie Ave & 110th St,8a677aec-442b-47b8-aff7-50852e1d26c0,8a677aec-442b-47b8-aff7-50852e1d26c0,736
false,,41.796642,646,true,11,-87.625923,false,classic,State St & 54th St,a3b4497a-a135-11e9-9cda-0a87ae2ba916,a3b4497a-a135-11e9-9cda-0a87ae2ba916,646
false,,41.953733,590,true,11,-87.740569,false,classic,Kilbourn Ave & Irving Park Rd,a3b2c354-a135-11e9-9cda-0a87ae2ba916,a3b2c354-a135-11e9-9cda-0a87ae2ba916,590
false,,41.751294,576,true,11,-87.597552,false,classic,Greenwood Ave & 79th St,a3b27bcf-a135-11e9-9cda-0a87ae2ba916,a3b27bcf-a135-11e9-9cda-0a87ae2ba916,576
false,,41.894745,642,true,7,-87.756895,false,classic,Latrobe Ave & Chicago Ave,a3b43478-a135-11e9-9cda-0a87ae2ba916,a3b43478-a135-11e9-9cda-0a87ae2ba916,642
false,,41.79933626261,KA1503000052,true,11,-87.6009581145,false,classic,Ellis Ave & 53rd St,a3ad66e6-a135-11e9-9cda-0a87ae2ba916,a3ad66e6-a135-11e9-9cda-0a87ae2ba916,418
false,,41.76571903697,KA1503000003,true,11,-87.604959713,false,classic,Cottage Grove Ave & 71st St,a3ad0ecb-a135-11e9-9cda-0a87ae2ba916,a3ad0ecb-a135-11e9-9cda-0a87ae2ba916,400
false,,41.856802,SL-006,true,11,-87.633879,false,classic,Wells St & 19th St,a3a80009-a135-11e9-9cda-0a87ae2ba916,a3a80009-a135-11e9-9cda-0a87ae2ba916,218
false,,41.819102,KA1503000032,true,11,-87.643278,false,classic,Union Ave & Root St,a3ad327e-a135-11e9-9cda-0a87ae2ba916,a3ad327e-a135-11e9-9cda-0a87ae2ba916,408
false,,41.80183164049,KA1503000010,true,11,-87.645213904,false,classic,Halsted St & 51st St,a3acc649-a135-11e9-9cda-0a87ae2ba916,a3acc649-a135-11e9-9cda-0a87ae2ba916,384
false,,41.76906172032,15597,true,11,-87.6446135779,false,classic,Halsted St & 69th St,a3acdff9-a135-11e9-9cda-0a87ae2ba916,a3acdff9-a135-11e9-9cda-0a87ae2ba916,391
false,,42.00454962194,RP-002,true,11,-87.6806661451,false,classic,Warren Park East,a3ae78ab-a135-11e9-9cda-0a87ae2ba916,a3ae78ab-a135-11e9-9cda-0a87ae2ba916,448
false,,41.75849,570,true,7,-87.60641,false,classic,Evans Ave & 75th St,a3b25b6d-a135-11e9-9cda-0a87ae2ba916,a3b25b6d-a135-11e9-9cda-0a87ae2ba916,570
false,,41.80229465088,15470,true,11,-87.6180535802,false,classic,Calumet Ave & 51st St,a3ad5764-a135-11e9-9cda-0a87ae2ba916,a3ad5764-a135-11e9-9cda-0a87ae2ba916,415
false,,41.907781,13245,true,11,-87.685854,false,classic,Claremont Ave & Hirsch St,a3a6de38-a135-11e9-9cda-0a87ae2ba916,a3a6de38-a135-11e9-9cda-0a87ae2ba916,159
false,,41.894958,16920,true,11,-87.764902,false,classic,Central Ave & Chicago Ave,a3b1f4fb-a135-11e9-9cda-0a87ae2ba916,a3b1f4fb-a135-11e9-9cda-0a87ae2ba916,550
false,,41.84453112462163,KA1504000110,true,7,-87.71592199802399,false,classic,Millard Ave & 26th St,a3ade7de-a135-11e9-9cda-0a87ae2ba916,a3ade7de-a135-11e9-9cda-0a87ae2ba916,443
false,,41.794982,KA1503000013,true,11,-87.633124,false,classic,Princeton Ave & Garfield Blvd,a3accb60-a135-11e9-9cda-0a87ae2ba916,a3accb60-a135-11e9-9cda-0a87ae2ba916,385
